,state,state_code,constituency,constituency_code,candidate_name,party,evm_votes,postal_votes,total_votes,percent_of_votes,migrant_votes
7854,Uttar Pradesh,S24,Sitapur,30,Rajesh Verma,Bharatiya Janata Party,513984,544,514528,48.33,0
7855,Uttar Pradesh,S24,Sitapur,30,Anil Singh,Aam Janta Party (India),7530,2,7532,0.71,0
7856,Uttar Pradesh,S24,Sitapur,30,Abu bakar,Bharat Prabhat Party,1827,1,1828,0.17,0
7857,Uttar Pradesh,S24,Sitapur,30,Geeta Devi,Bahujan Awam Party,1441,0,1441,0.14,0
7858,Uttar Pradesh,S24,Sitapur,30,Mahendra Kumar,Awami Samta Party,2332,0,2332,0.22,0
7859,Uttar Pradesh,S24,Sitapur,30,Vijay Kumar Mishra,Pragatishil Samajwadi Party (Lohia),1737,5,1742,0.16,0
7860,Uttar Pradesh,S24,Sitapur,30,Turab Ali,Independent,4508,0,4508,0.42,0
7861,Uttar Pradesh,S24,Sitapur,30,Pyare Lal Bhargva,Independent,4447,1,4448,0.42,0
7862,Uttar Pradesh,S24,Sitapur,30,Vinod Kumar,Independent,4083,0,4083,0.38,0
7863,Uttar Pradesh,S24,Sitapur,30,Shuchita Kumar,Independent,3492,1,3493,0.33,0
7864,Uttar Pradesh,S24,Sitapur,30,NOTA,None of the Above,8866,7,8873,0.83,0
7865,Uttar Pradesh,S24,Sultanpur,38,"CHANDRA BHADRA SINGH ""SSONU""",Bahujan Samaj Party,444422,248,444670,44.45,0
7866,Uttar Pradesh,S24,Sultanpur,38,MANEKA SANJAI GANDHI,Bharatiya Janata Party,458281,915,459196,45.91,0
7867,Uttar Pradesh,S24,Sultanpur,38,Dr. SANJAY SINH,Indian National Congress,41588,93,41681,4.17,0
7868,Uttar Pradesh,S24,Sultanpur,38,RISHABH SHRIVASTAVA,Bhartiya Hind Fauj,2424,3,2427,0.24,0
7869,Uttar Pradesh,S24,Sultanpur,38,KAMLA DEVI,Pragatishil Samajwadi Party (Lohia),11484,10,11494,1.15,0
7870,Uttar Pradesh,S24,Sultanpur,38,NASIR ALI,Bharat Prabhat Party,1246,0,1246,0.12,0
7871,Uttar Pradesh,S24,Sultanpur,38,FIROJ AHAMAD,Kanshiram Bahujan Dal,1590,2,1592,0.16,0
7872,Uttar Pradesh,S24,Sultanpur,38,MANJU LATA PAL,Aam Janta Party (India),2148,0,2148,0.21,0
7873,Uttar Pradesh,S24,Sultanpur,38,SUNITA RAJBHAR,Suheldev Bharatiya Samaj Party,4270,1,4271,0.43,0
7874,Uttar Pradesh,S24,Sultanpur,38,HARI LAL,Rastriya Insaaf Party,3265,0,3265,0.33,0
7875,Uttar Pradesh,S24,Sultanpur,38,AKHILESH,Independent,1826,2,1828,0.18,0
7876,Uttar Pradesh,S24,Sultanpur,38,ABU UMAIMA,Independent,1577,0,1577,0.16,0
7877,Uttar Pradesh,S24,Sultanpur,38,MATHURA,Independent,2226,0,2226,0.22,0
7878,Uttar Pradesh,S24,Sultanpur,38,RAJ KUMAR,Independent,5756,0,5756,0.58,0
7879,Uttar Pradesh,S24,Sultanpur,38,VIRENDRA,Independent,7168,0,7168,0.72,0
7880,Uttar Pradesh,S24,Sultanpur,38,NOTA,None of the Above,9770,1,9771,0.98,0
7881,Uttar Pradesh,S24,Unnao,33,Annu Tandon,Indian National Congress,185468,166,185634,15.01,0
7882,Uttar Pradesh,S24,Unnao,33,Arun Shanker Shukla,Samajwadi Party,302263,288,302551,24.46,0
7883,Uttar Pradesh,S24,Unnao,33,Swami Sakshi Ji Maharaj,Bharatiya Janata Party,702441,1066,703507,56.87,0
7884,Uttar Pradesh,S24,Unnao,33,Umar Khan,Nagrik Ekta Party,11122,1,11123,0.9,0
7885,Uttar Pradesh,S24,Unnao,33,Chedi Lal,Bharat Prabhat Party,3088,2,3090,0.25,0
7886,Uttar Pradesh,S24,Unnao,33,Deepak Chaurasia,Janhit Kisan Party,5712,3,5715,0.46,0
7887,Uttar Pradesh,S24,Unnao,33,Shailesh Kushwaha,Aajad Bharat Party (Democratic),3550,0,3550,0.29,0
7888,Uttar Pradesh,S24,Unnao,33,Satish Kumar Shukla,Pragatishil Samajwadi Party (Lohia),6710,1,6711,0.54,0
7889,Uttar Pradesh,S24,Unnao,33,Satyendra Nath Gaur,Independent,4003,2,4005,0.32,0
7890,Uttar Pradesh,S24,Unnao,33,NOTA,None of the Above,11189,1,11190,0.9,0
