,state,state_code,constituency,constituency_code,candidate_name,party,evm_votes,postal_votes,total_votes,percent_of_votes,migrant_votes
0,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,AYAN MANDAL,All India Trinamool Congress,1717,4,1721,0.83,0
1,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,KULDEEP RAI SHARMA,Indian National Congress,95249,59,95308,45.98,0
2,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,PRAKASH MINJ,Bahujan Samaj Party,2478,8,2486,1.2,0
3,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,VISHAL JOLLY,Bharatiya Janata Party,93772,129,93901,45.3,0
4,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,SANJAY MESHACK,Aam Aadmi Party,2837,2,2839,1.37,0
5,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,C G SAJI KUMAR,All India Hindustan Congress Party,212,0,212,0.1,0
6,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,K KALIMUTHU,Independent,269,6,275,0.13,0
7,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,V V KHALID,Independent,305,1,306,0.15,0
8,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,GOUR CHANDRA MAJUMDER,Independent,221,0,221,0.11,0
9,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,PARITOSH KUMAR HALDAR,Independent,5339,2,5341,2.58,0
10,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,MINATI BISWAS,Independent,615,3,618,0.3,0
11,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,C U RASHEED,Independent,272,1,273,0.13,0
12,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,K VENKAT RAM BABU,Independent,914,0,914,0.44,0
13,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,S SUDERSHAN RAO,Independent,475,0,475,0.23,0
14,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,HENRY,Independent,994,0,994,0.48,0
15,Andaman & Nicobar Islands,U01,Andaman & Nicobar Islands,1,NOTA,None of the Above,1411,1,1412,0.68,0
16,Andhra Pradesh,S01,Amalapuram,7,AYYAJI VEMA MANEPALLI,Bharatiya Janata Party,11358,158,11516,0.94,0
17,Andhra Pradesh,S01,Amalapuram,7,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,442774,2573,445347,36.18,0
18,Andhra Pradesh,S01,Amalapuram,7,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,481358,3955,485313,39.43,0
19,Andhra Pradesh,S01,Amalapuram,7,JANGA GOUTHAM,Indian National Congress,7840,38,7878,0.64,0
20,Andhra Pradesh,S01,Amalapuram,7,CHELLE RAJANI,Jana Jagruti Party,1228,0,1228,0.1,0
21,Andhra Pradesh,S01,Amalapuram,7,PANTHAGADA VIJAYA CHAKRAVARTHY,Republican Party of India (Khobragade),1801,0,1801,0.15,0
22,Andhra Pradesh,S01,Amalapuram,7,MURALIKRISHNA KANDERI,India Praja Bandhu Party,1801,1,1802,0.15,0
23,Andhra Pradesh,S01,Amalapuram,7,MORTHA SIVA RAMA KRISHNA,Pyramid Party of India,1946,4,1950,0.16,0
24,Andhra Pradesh,S01,Amalapuram,7,D M R SEKHAR,Janasena Party,253271,1577,254848,20.7,0
25,Andhra Pradesh,S01,Amalapuram,7,REVU SUDHAKAR,Independent,2770,1,2771,0.23,0
26,Andhra Pradesh,S01,Amalapuram,7,NOTA,None of the Above,16408,41,16449,1.34,0
27,Andhra Pradesh,S01,Anakapalli,5,ADARI ANAND KUMAR,Telugu Desam,495381,1653,497034,40.13,0
28,Andhra Pradesh,S01,Anakapalli,5,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),Bharatiya Janata Party,12888,388,13276,1.07,0
29,Andhra Pradesh,S01,Anakapalli,5,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,583210,3016,586226,47.33,0
30,Andhra Pradesh,S01,Anakapalli,5,Ruthala Srirama Murthy,Indian National Congress,10072,49,10121,0.82,0
31,Andhra Pradesh,S01,Anakapalli,5,P.S.AJAY KUMAR,Communist Party of India  (Marxist-Leninist)  (Liberation),2708,8,2716,0.22,0
32,Andhra Pradesh,S01,Anakapalli,5,K B SWAROOP,Jana Jagruti Party,1615,6,1621,0.13,0
33,Andhra Pradesh,S01,Anakapalli,5,Chintala Partha Sarathi,Janasena Party,82126,462,82588,6.67,0
34,Andhra Pradesh,S01,Anakapalli,5,Taadi Veera Jagadeeshwari,Pyramid Party of India,1801,2,1803,0.15,0
35,Andhra Pradesh,S01,Anakapalli,5,Vadlamuri Krishna Swaroop,Dalita Bahujana Party,4443,1,4444,0.36,0
36,Andhra Pradesh,S01,Anakapalli,5,Appala Naidu Tummagunta,Independent,3760,5,3765,0.3,0
37,Andhra Pradesh,S01,Anakapalli,5,NOTA,None of the Above,34877,20,34897,2.82,0
38,Andhra Pradesh,S01,Anantapur,19,D.JAGADEESH,Communist Party of India,20192,102,20294,1.51,0
39,Andhra Pradesh,S01,Anantapur,19,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,690901,4307,695208,51.79,0
40,Andhra Pradesh,S01,Anantapur,19,J.C. PAVAN REDDY,Telugu Desam,550597,3183,553780,41.26,0
41,Andhra Pradesh,S01,Anantapur,19,K.RAJIV REDDY,Indian National Congress,29994,85,30079,2.24,0
42,Andhra Pradesh,S01,Anantapur,19,HAMSA DEVINENI,Bharatiya Janata Party,7440,164,7604,0.57,0
43,Andhra Pradesh,S01,Anantapur,19,GADIDAMA RANGANAYAKULU,Vishwa Jana Party,728,0,728,0.05,0
44,Andhra Pradesh,S01,Anantapur,19,P.RADHA KRISHNA,Radical Democrats,1219,1,1220,0.09,0
45,Andhra Pradesh,S01,Anantapur,19,G. LALITHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),890,9,899,0.07,0
46,Andhra Pradesh,S01,Anantapur,19,M.VENKATESULU,Pyramid Party of India,1043,5,1048,0.08,0
47,Andhra Pradesh,S01,Anantapur,19,S.V.P. YADAV,Independent,4398,0,4398,0.33,0
48,Andhra Pradesh,S01,Anantapur,19,P. RANGAIAH,Independent,3580,8,3588,0.27,0
49,Andhra Pradesh,S01,Anantapur,19,L. RANGAIAH,Independent,1688,3,1691,0.13,0
50,Andhra Pradesh,S01,Anantapur,19,VADDE KASINATH,Independent,2063,3,2066,0.15,0
51,Andhra Pradesh,S01,Anantapur,19,SOMANATH DESHMUKH,Independent,3236,1,3237,0.24,0
52,Andhra Pradesh,S01,Anantapur,19,NOTA,None of the Above,16406,60,16466,1.23,0
53,Andhra Pradesh,S01,Aruku,1,KISHORE CHANDRA DEO,Telugu Desam,336163,1938,338101,31.46,0
54,Andhra Pradesh,S01,Aruku,1,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Bharatiya Janata Party,17578,289,17867,1.66,0
55,Andhra Pradesh,S01,Aruku,1,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,557561,4629,562190,52.32,0
56,Andhra Pradesh,S01,Aruku,1,SHRUTI DEVI VYRICHERLA,Indian National Congress,17656,74,17730,1.65,0
57,Andhra Pradesh,S01,Aruku,1,GANGULAIAH VAMPURU.,Janasena Party,42245,549,42794,3.98,0
58,Andhra Pradesh,S01,Aruku,1,SWAMULA. SUBRAHMANYAM,Jana Jagruti Party,4705,5,4710,0.44,0
59,Andhra Pradesh,S01,Aruku,1,ANUMULA VAMSIKRISHNA,Independent,10211,29,10240,0.95,0
60,Andhra Pradesh,S01,Aruku,1,KANGALA BALUDORA,Independent,13810,16,13826,1.29,0
61,Andhra Pradesh,S01,Aruku,1,NARAVA SATYAVATHI,Independent,11231,5,11236,1.05,0
62,Andhra Pradesh,S01,Aruku,1,BIDDIKA RAMAYYA.,Independent,7863,4,7867,0.73,0
63,Andhra Pradesh,S01,Aruku,1,NOTA,None of the Above,47955,22,47977,4.46,0
64,Andhra Pradesh,S01,Bapatla,15,CHALLAGALI KISHORE KUMAR,Bharatiya Janata Party,9842,509,10351,0.82,0
65,Andhra Pradesh,S01,Bapatla,15,K. DEVANAND,Bahujan Samaj Party,42262,318,42580,3.36,0
66,Andhra Pradesh,S01,Bapatla,15,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,592250,6007,598257,47.24,0
67,Andhra Pradesh,S01,Bapatla,15,MALYADRI SRIRAM,Telugu Desam,577403,4789,582192,45.97,0
68,Andhra Pradesh,S01,Bapatla,15,J.D. SEELAM,Indian National Congress,12941,214,13155,1.04,0
69,Andhra Pradesh,S01,Bapatla,15,KUMAR KATTEPOGU,Pyramid Party of India,877,8,885,0.07,0
70,Andhra Pradesh,S01,Bapatla,15,GADDE HARI BABU,Navodayam Party,521,9,530,0.04,0
71,Andhra Pradesh,S01,Bapatla,15,CHINA NAGESWARA RAO SADHU,Mundadugu Praja Party,463,3,466,0.04,0
72,Andhra Pradesh,S01,Bapatla,15,THUMATI RAVI,All Peoples Party,368,2,370,0.03,0
73,Andhra Pradesh,S01,Bapatla,15,NUTHAKKI RAMA RAO,All India Praja Party,600,6,606,0.05,0
74,Andhra Pradesh,S01,Bapatla,15,GELLA NAGAMALLI,Independent,651,4,655,0.05,0
75,Andhra Pradesh,S01,Bapatla,15,GOLLA BABURAO,Independent,1271,5,1276,0.1,0
76,Andhra Pradesh,S01,Bapatla,15,BUSSA NAGARAJU,Independent,1943,8,1951,0.15,0
77,Andhra Pradesh,S01,Bapatla,15,NOTA,None of the Above,13178,40,13218,1.04,0
78,Andhra Pradesh,S01,Chittoor,25,CHEEMALA. RANGAPPA,Indian National Congress,24497,146,24643,1.87,0
79,Andhra Pradesh,S01,Chittoor,25,JAYARAM DUGGANI,Bharatiya Janata Party,10137,359,10496,0.8,0
80,Andhra Pradesh,S01,Chittoor,25,NARAMALLI SIVA PRASAD,Telugu Desam,545374,4147,549521,41.65,0
81,Andhra Pradesh,S01,Chittoor,25,C. PUNYAMURTHY,Bahujan Samaj Party,19952,110,20062,1.52,0
82,Andhra Pradesh,S01,Chittoor,25,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,681325,5467,686792,52.05,0
83,Andhra Pradesh,S01,Chittoor,25,PALLIPATTU. ABHINAV VISHNU,Mundadugu Praja Party,3441,4,3445,0.26,0
84,Andhra Pradesh,S01,Chittoor,25,P. RAMACHANDRAN,Independent,1854,9,1863,0.14,0
85,Andhra Pradesh,S01,Chittoor,25,A. HEMANTH,Independent,2089,5,2094,0.16,0
86,Andhra Pradesh,S01,Chittoor,25,NOTA,None of the Above,20503,53,20556,1.56,0
87,Andhra Pradesh,S01,Eluru,10,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,672834,3975,676809,50.97,0
88,Andhra Pradesh,S01,Eluru,10,CHINNAM RAMA KOTAYYA,Bharatiya Janata Party,8317,95,8412,0.63,0
89,Andhra Pradesh,S01,Eluru,10,JETTI GURUNADHA RAO,Indian National Congress,20284,94,20378,1.53,0
90,Andhra Pradesh,S01,Eluru,10,MAGANTTI VENKATESWARA RAO BABU,Telugu Desam,509549,1335,510884,38.47,0
91,Andhra Pradesh,S01,Eluru,10,CHINA VENKATA SURYANARAYANA JOSYULA,Pyramid Party of India,2932,3,2935,0.22,0
92,Andhra Pradesh,S01,Eluru,10,PENTAPATI PULLARAO,Janasena Party,76481,346,76827,5.79,0
93,Andhra Pradesh,S01,Eluru,10,MATHE. BOBBY,Republican Party of India (A),1871,8,1879,0.14,0
94,Andhra Pradesh,S01,Eluru,10,V. SIVA RAMA KRISHNA,Jana Jagruti Party,1261,0,1261,0.09,0
95,Andhra Pradesh,S01,Eluru,10,ALAGA. RAVI KUMAR,Independent,1648,0,1648,0.12,0
96,Andhra Pradesh,S01,Eluru,10,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),Independent,3010,0,3010,0.23,0
97,Andhra Pradesh,S01,Eluru,10,NOTA,None of the Above,23861,19,23880,1.8,0
98,Andhra Pradesh,S01,Guntur,13,Jayadev Galla,Telugu Desam,586292,1626,587918,43.5,0
99,Andhra Pradesh,S01,Guntur,13,Jayaprakash Narayana Valluru,Bharatiya Janata Party,11667,174,11841,0.88,0
100,Andhra Pradesh,S01,Guntur,13,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,580840,2873,583713,43.19,0
101,Andhra Pradesh,S01,Guntur,13,Shaik Mastanvali,Indian National Congress,14124,81,14205,1.05,0
102,Andhra Pradesh,S01,Guntur,13,Araveti Hazarath Rao,Pyramid Party of India,808,2,810,0.06,0
103,Andhra Pradesh,S01,Guntur,13,Ullagi David Jayakumar,Hardam Manavtawadi Rashtriya Dal,447,0,447,0.03,0
104,Andhra Pradesh,S01,Guntur,13,Jeldi Raja Mohan,All India Praja Party,437,0,437,0.03,0
105,Andhra Pradesh,S01,Guntur,13,Nagaraju Ekula,Republican Party of India (A),920,0,920,0.07,0
106,Andhra Pradesh,S01,Guntur,13,Bonaboyina Srinivasa Rao,Janasena Party,128746,459,129205,9.56,0
107,Andhra Pradesh,S01,Guntur,13,Mannava Hariprasad,Communist Party of India (Marxist-Leninist) Red Star,3212,4,3216,0.24,0
108,Andhra Pradesh,S01,Guntur,13,Ramarao Simhadri,Praja Shanthi Party,1744,2,1746,0.13,0
109,Andhra Pradesh,S01,Guntur,13,Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi,639,2,641,0.05,0
110,Andhra Pradesh,S01,Guntur,13,Sarabandi Raju Sikhinam,Indian Labour Party (Ambedkar Phule),1015,2,1017,0.08,0
111,Andhra Pradesh,S01,Guntur,13,Shaik Jaleel,Navarang Congress Party,560,3,563,0.04,0
112,Andhra Pradesh,S01,Guntur,13,Samudrala Chinna Kotaiah,National Dalitha Dhal Party,628,0,628,0.05,0
113,Andhra Pradesh,S01,Guntur,13,Umar Basha Shaik,Independent,2676,0,2676,0.2,0
114,Andhra Pradesh,S01,Guntur,13,Dasari Kiran Babu,Independent,2907,2,2909,0.22,0
115,Andhra Pradesh,S01,Guntur,13,Doppalapudi Veera Das,Independent,629,0,629,0.05,0
116,Andhra Pradesh,S01,Guntur,13,Yanamadala Venkata Suresh,Independent,1947,0,1947,0.14,0
117,Andhra Pradesh,S01,Guntur,13,NOTA,None of the Above,5972,34,6006,0.44,0
118,Andhra Pradesh,S01,Hindupur,20,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),Indian National Congress,26973,183,27156,2.03,0
119,Andhra Pradesh,S01,Hindupur,20,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,699739,6863,706602,52.79,0
120,Andhra Pradesh,S01,Hindupur,20,KRISTAPPA . NIMMALA,Telugu Desam,561602,4252,565854,42.27,0
121,Andhra Pradesh,S01,Hindupur,20,MITTA PARTHASARATHI,Bharatiya Janata Party,13530,275,13805,1.03,0
122,Andhra Pradesh,S01,Hindupur,20,Ram Mohan Singamneni,Pyramid Party of India,1305,8,1313,0.1,0
123,Andhra Pradesh,S01,Hindupur,20,S.R.Anjaneyulu,Independent,1215,12,1227,0.09,0
124,Andhra Pradesh,S01,Hindupur,20,GOGULA PULAKUNTA JAYANTH,Independent,1578,4,1582,0.12,0
125,Andhra Pradesh,S01,Hindupur,20,Mugi Surya Prakash,Independent,1315,1,1316,0.1,0
126,Andhra Pradesh,S01,Hindupur,20,Ramamohan D.G.,Independent,2230,1,2231,0.17,0
127,Andhra Pradesh,S01,Hindupur,20,NOTA,None of the Above,17356,72,17428,1.3,0
128,Andhra Pradesh,S01,Kadapa,21,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,778267,5532,783799,63.8,0
129,Andhra Pradesh,S01,Kadapa,21,Chadipirala Adi Narayana Reddy,Telugu Desam,400192,2631,402823,32.79,0
130,Andhra Pradesh,S01,Kadapa,21,Gundlakunta Sreeramulu,Indian National Congress,8280,61,8341,0.68,0
131,Andhra Pradesh,S01,Kadapa,21,Gujjula Eswaraiah,Communist Party of India,6152,90,6242,0.51,0
132,Andhra Pradesh,S01,Kadapa,21,Sri Rama Chandra Singareddy,Bharatiya Janata Party,3917,168,4085,0.33,0
133,Andhra Pradesh,S01,Kadapa,21,Ameen Peeran Shaik,Ambedkar National Congress,571,2,573,0.05,0
134,Andhra Pradesh,S01,Kadapa,21,Lakshmi Reddy Putha,Rajyadhikara Party,365,3,368,0.03,0
135,Andhra Pradesh,S01,Kadapa,21,Pedakala Varalakshmi,Pyramid Party of India,705,11,716,0.06,0
136,Andhra Pradesh,S01,Kadapa,21,Chadipirala Siva Narayana Reddy,Navarang Congress Party,445,1,446,0.04,0
137,Andhra Pradesh,S01,Kadapa,21,Siva Chandra Reddy Komma,Anna YSR Congress Party,1398,24,1422,0.12,0
138,Andhra Pradesh,S01,Kadapa,21,Gona Purushottam Reddy,Independent,1131,3,1134,0.09,0
139,Andhra Pradesh,S01,Kadapa,21,Jakku Chenna Krishna Reddy,Independent,578,1,579,0.05,0
140,Andhra Pradesh,S01,Kadapa,21,Nyamatulla Shaik,Independent,755,4,759,0.06,0
141,Andhra Pradesh,S01,Kadapa,21,Peddireddy Showry Subhash Reddy,Independent,865,0,865,0.07,0
142,Andhra Pradesh,S01,Kadapa,21,Venu Gopal Rachineni,Independent,1748,0,1748,0.14,0
143,Andhra Pradesh,S01,Kadapa,21,NOTA,None of the Above,14629,63,14692,1.2,0
144,Andhra Pradesh,S01,Kakinada,6,CHALAMALASETTY SUNIL,Telugu Desam,508361,3531,511892,41.46,0
145,Andhra Pradesh,S01,Kakinada,6,MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),Indian National Congress,8601,39,8640,0.7,0
146,Andhra Pradesh,S01,Kakinada,6,YALLA VENKATA RAMA MOHAN RAO (DORABABU),Bharatiya Janata Party,9456,140,9596,0.78,0
147,Andhra Pradesh,S01,Kakinada,6,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,534655,2975,537630,43.54,0
148,Andhra Pradesh,S01,Kakinada,6,APPALAKONDA VANGALAPUDI,Mundadugu Praja Party,2997,0,2997,0.24,0
149,Andhra Pradesh,S01,Kakinada,6,B. GEETHA,Praja Shanthi Party,1687,1,1688,0.14,0
150,Andhra Pradesh,S01,Kakinada,6,GODUGU SATYANARAYANA,Communist Party of India  (Marxist-Leninist)  (Liberation),1723,1,1724,0.14,0
151,Andhra Pradesh,S01,Kakinada,6,JYOTHULA VENKATESWARA RAO,Janasena Party,132124,524,132648,10.74,0
152,Andhra Pradesh,S01,Kakinada,6,DONAM NEELAKANTAM,All India Praja Party,980,0,980,0.08,0
153,Andhra Pradesh,S01,Kakinada,6,PEDDIMSETTI. VENKATESWARARAO,Jana Jagruti Party,812,3,815,0.07,0
154,Andhra Pradesh,S01,Kakinada,6,VASAMSETTY VENKATARAMANA,All India Forward Bloc,1012,2,1014,0.08,0
155,Andhra Pradesh,S01,Kakinada,6,SATHI VEERALAKSHMI,Pyramid Party of India,1117,2,1119,0.09,0
156,Andhra Pradesh,S01,Kakinada,6,ANKADI SATHIBABU,Independent,1381,0,1381,0.11,0
157,Andhra Pradesh,S01,Kakinada,6,KAKILETI RAVINDRA,Independent,3325,2,3327,0.27,0
158,Andhra Pradesh,S01,Kakinada,6,MEDISETTI VIJAYA KUMAR,Independent,2051,0,2051,0.17,0
159,Andhra Pradesh,S01,Kakinada,6,NOTA,None of the Above,17117,36,17153,1.39,0
160,Andhra Pradesh,S01,Kurnool,18,AHMED ALI KHAN,Indian National Congress,36169,89,36258,3.07,0
161,Andhra Pradesh,S01,Kurnool,18,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,450341,3324,453665,38.38,0
162,Andhra Pradesh,S01,Kurnool,18,Dr. PARTHASARATHI VALMIKI,Bharatiya Janata Party,24089,241,24330,2.06,0
163,Andhra Pradesh,S01,Kurnool,18,K. PRABHAKARA REDDY,Communist Party of India  (Marxist),18818,101,18919,1.6,0
164,Andhra Pradesh,S01,Kurnool,18,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,600190,2364,602554,50.98,0
165,Andhra Pradesh,S01,Kurnool,18,ABDUL WARIS,SOCIAL DEMOCRATIC PARTY OF INDIA,7261,4,7265,0.61,0
166,Andhra Pradesh,S01,Kurnool,18,KASULA RAJASEKHAR,Pyramid Party of India,1223,3,1226,0.1,0
167,Andhra Pradesh,S01,Kurnool,18,DANDU SESHU YADAV,Samajwadi Party,3264,2,3266,0.28,0
168,Andhra Pradesh,S01,Kurnool,18,M. NAGANNA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1283,2,1285,0.11,0
169,Andhra Pradesh,S01,Kurnool,18,S.MD. SHAFATH,Rayalaseema Rashtra Samithi,1220,1,1221,0.1,0
170,Andhra Pradesh,S01,Kurnool,18,G Sanjeeva Kumar,Samajwadi Forward Bloc,2095,2,2097,0.18,0
171,Andhra Pradesh,S01,Kurnool,18,HATCHOLI THOMAS,Independent,1489,7,1496,0.13,0
172,Andhra Pradesh,S01,Kurnool,18,DEVARAPOGU MADDILETY,Independent,1696,1,1697,0.14,0
173,Andhra Pradesh,S01,Kurnool,18,BALIJA. SHIVA KUMAR,Independent,2741,0,2741,0.23,0
174,Andhra Pradesh,S01,Kurnool,18,T. BEECHUPALLY,Independent,9771,0,9771,0.83,0
175,Andhra Pradesh,S01,Kurnool,18,P.V. SRIHARI,Independent,6548,3,6551,0.55,0
176,Andhra Pradesh,S01,Kurnool,18,NOTA,None of the Above,7643,26,7669,0.65,0
177,Andhra Pradesh,S01,Machilipatnam,11,KONAKALLA NARAYANA RAO,Telugu Desam,508570,2725,511295,41.18,0
178,Andhra Pradesh,S01,Machilipatnam,11,GUDIVAKA RAMANJANEYULU,Bharatiya Janata Party,6355,107,6462,0.52,0
179,Andhra Pradesh,S01,Machilipatnam,11,GOLLU KRISHNA,Indian National Congress,12207,77,12284,0.99,0
180,Andhra Pradesh,S01,Machilipatnam,11,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,566178,5258,571436,46.02,0
181,Andhra Pradesh,S01,Machilipatnam,11,PERAM SIVA NAGESWARA RAO,Republican Party of India (A),3620,2,3622,0.29,0
182,Andhra Pradesh,S01,Machilipatnam,11,BANDREDDI RAMAKRISHNA,Janasena Party,112416,876,113292,9.12,0
183,Andhra Pradesh,S01,Machilipatnam,11,YARLAGADDA RAMA MOHANA RAO,Bahujan Maha Party,1016,1,1017,0.08,0
184,Andhra Pradesh,S01,Machilipatnam,11,VALLURU VENKATESWARA RAO,Pyramid Party of India,824,2,826,0.07,0
185,Andhra Pradesh,S01,Machilipatnam,11,GANDHI DHANEKULA,Independent,846,0,846,0.07,0
186,Andhra Pradesh,S01,Machilipatnam,11,NADAKUDITI NAGA GAYATHRI,Independent,771,2,773,0.06,0
187,Andhra Pradesh,S01,Machilipatnam,11,GUDIVAKA VENKATA NAGA BASAVA RAO,Independent,895,1,896,0.07,0
188,Andhra Pradesh,S01,Machilipatnam,11,VIJAYA LAKSHMI CHALAPAKA,Independent,4766,13,4779,0.38,0
189,Andhra Pradesh,S01,Machilipatnam,11,NOTA,None of the Above,14043,34,14077,1.13,0
190,Andhra Pradesh,S01,Nandyal,17,ADINARAYANA INTY,Bharatiya Janata Party,8794,272,9066,0.7,0
191,Andhra Pradesh,S01,Nandyal,17,JANGITE LAKSHMI NARASIMHA YADAV,Indian National Congress,14313,107,14420,1.11,0
192,Andhra Pradesh,S01,Nandyal,17,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,715024,5864,720888,55.49,0
193,Andhra Pradesh,S01,Nandyal,17,MANDRA SIVANANDA REDDY,Telugu Desam,466869,3900,470769,36.24,0
194,Andhra Pradesh,S01,Nandyal,17,D. P. JAMAL BASHA.,Anna YSR Congress Party,3981,108,4089,0.31,0
195,Andhra Pradesh,S01,Nandyal,17,PULA. NAGAMADDILETY,Ambedkar National Congress,931,6,937,0.07,0
196,Andhra Pradesh,S01,Nandyal,17,D. MAHAMMAD RAFI .,B. C. United Front,645,4,649,0.05,0
197,Andhra Pradesh,S01,Nandyal,17,RUDDIREDDY RADHAKRISHNA,All India Forward Bloc,667,6,673,0.05,0
198,Andhra Pradesh,S01,Nandyal,17,S.P.Y. REDDY,Janasena Party,38568,303,38871,2.99,0
199,Andhra Pradesh,S01,Nandyal,17,S. A. INDUMATHI,Independent,842,5,847,0.07,0
200,Andhra Pradesh,S01,Nandyal,17,ELLURI. BHUPAL.,Independent,667,1,668,0.05,0
201,Andhra Pradesh,S01,Nandyal,17,K.P. KAMBAGIRISWAMY.,Independent,765,2,767,0.06,0
202,Andhra Pradesh,S01,Nandyal,17,JESTADI SUDHAKAR,Independent,4542,0,4542,0.35,0
203,Andhra Pradesh,S01,Nandyal,17,I.V. PAKKIR REDDY,Independent,3103,0,3103,0.24,0
204,Andhra Pradesh,S01,Nandyal,17,POLURU GURUVAIAH.,Independent,6099,0,6099,0.47,0
205,Andhra Pradesh,S01,Nandyal,17,BHUMA KISHOR REDDY,Independent,4848,4,4852,0.37,0
206,Andhra Pradesh,S01,Nandyal,17,B.C. RAMANATHA REDDY,Independent,2543,0,2543,0.2,0
207,Andhra Pradesh,S01,Nandyal,17,Dr. LAKSHMI KANTHA REDDY CHITLA,Independent,1428,1,1429,0.11,0
208,Andhra Pradesh,S01,Nandyal,17,VANGALA PARAMESWARA REDDY.,Independent,2380,2,2382,0.18,0
209,Andhra Pradesh,S01,Nandyal,17,C. SURENDRA NATH REDDY,Independent,1708,0,1708,0.13,0
210,Andhra Pradesh,S01,Nandyal,17,NOTA,None of the Above,9759,32,9791,0.75,0
211,Andhra Pradesh,S01,Narasaraopet,14,KANNA LAKSHMI NARAYANA,Bharatiya Janata Party,15237,231,15468,1.08,0
212,Andhra Pradesh,S01,Narasaraopet,14,PAKKALA SURIBABU,Indian National Congress,10976,56,11032,0.77,0
213,Andhra Pradesh,S01,Narasaraopet,14,RAYAPATI SAMBASIVARAO,Telugu Desam,588900,2211,591111,41.12,0
214,Andhra Pradesh,S01,Narasaraopet,14,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,740041,5048,745089,51.83,0
215,Andhra Pradesh,S01,Narasaraopet,14,ALLU VENKATAREDDY,Pyramid Party of India,2892,4,2896,0.2,0
216,Andhra Pradesh,S01,Narasaraopet,14,KANAKAM SRINIVASARAO,National Nava Kranthi Party,1065,4,1069,0.07,0
217,Andhra Pradesh,S01,Narasaraopet,14,NAYUB KAMAL SHAIK,Janasena Party,50518,295,50813,3.53,0
218,Andhra Pradesh,S01,Narasaraopet,14,SURABHI DEVASAHAYAM,Indian Union Muslim League,423,0,423,0.03,0
219,Andhra Pradesh,S01,Narasaraopet,14,KANTE SAYANNA,Independent,365,1,366,0.03,0
220,Andhra Pradesh,S01,Narasaraopet,14,GADDALA VENU,Independent,623,3,626,0.04,0
221,Andhra Pradesh,S01,Narasaraopet,14,DURGAMPUDI RAMIREDDY,Independent,2683,1,2684,0.19,0
222,Andhra Pradesh,S01,Narasaraopet,14,PARIMI NARASIMHA RAO,Independent,999,2,1001,0.07,0
223,Andhra Pradesh,S01,Narasaraopet,14,REDDYBOINA PRASANNA KUMAR,Independent,1394,1,1395,0.1,0
224,Andhra Pradesh,S01,Narasaraopet,14,NOTA,None of the Above,13664,38,13702,0.95,0
225,Andhra Pradesh,S01,Narsapuram,9,KANUMURU BAPIRAJU,Indian National Congress,13678,132,13810,1.18,0
